_id,Ngày,Quốc gia,Thành phố,Phân loại,Count,Min,Max,Meidan,Variance
1139,2020-04-23T00:00:00,VN,Hạ Long,pressure,8,999.3,1004.5,1001.7,27.84
1140,2020-05-17T00:00:00,VN,Hạ Long,pressure,8,989.3,992.8,991.6,12.6
1141,2020-05-26T00:00:00,VN,Hạ Long,pressure,7,992.6,996.5,994.5,17.71
1142,2020-01-10T00:00:00,VN,Hạ Long,pressure,8,992.4,996.2,993.8,17.91
1143,2021-01-19T00:00:00,VN,Hạ Long,pressure,7,1002.5,1007,1004.7,29.52
1144,2020-07-01T00:00:00,VN,Hạ Long,pressure,7,1001.7,1005.1,1002.9,11.13
1145,2020-01-24T00:00:00,VN,Hạ Long,pressure,8,999.2,1003.6,1000.4,19.9
1146,2020-10-09T00:00:00,VN,Hạ Long,pressure,8,989.8,994.1,992.8,23.34
1147,2020-10-17T00:00:00,VN,Hạ Long,pressure,8,999.2,1002.4,1000.2,10.2
1148,2020-10-14T00:00:00,VN,Hạ Long,pressure,8,990.4,995.5,991.6,28.26
1149,2020-05-05T00:00:00,VN,Hạ Long,pressure,7,992.8,995.8,994.2,9.92
1150,2020-05-16T00:00:00,VN,Hạ Long,pressure,7,989.7,994.1,991.8,19.92
1151,2020-08-30T00:00:00,VN,Hạ Long,pressure,7,989.9,994.2,992.1,25
1152,2020-11-10T00:00:00,VN,Hạ Long,pressure,8,995.4,999.8,997.3,21.14
1153,2020-10-24T00:00:00,VN,Hạ Long,pressure,16,998.3,1002.4,1000.2,15.64
1154,2020-10-25T00:00:00,VN,Hạ Long,pressure,8,997.5,1001.7,999.5,16.87
1155,2020-08-11T00:00:00,VN,Hạ Long,pressure,8,1003.6,1007.6,1005.1,16.54
1156,2020-11-16T00:00:00,VN,Hạ Long,pressure,8,1001.2,1004.3,1002.5,8.88
1157,2020-08-22T00:00:00,VN,Hạ Long,pressure,7,992.6,996.2,995.2,13.09
1158,2020-12-09T00:00:00,VN,Hạ Long,pressure,7,994.9,998,995.6,15.32
1159,2020-09-25T00:00:00,VN,Hạ Long,pressure,8,992.3,997.1,995.5,26.03
1160,2020-09-28T00:00:00,VN,Hạ Long,pressure,8,993.4,997.7,995.5,18.94
1161,2020-11-21T00:00:00,VN,Hạ Long,pressure,8,997.6,1001.1,998.8,15.81
1162,2020-08-01T00:00:00,VN,Hạ Long,pressure,6,1002.3,1006.1,1003.2,17.47
1163,2020-03-26T00:00:00,VN,Hạ Long,pressure,16,994.5,998.5,996.3,17.11
1164,2020-09-13T00:00:00,VN,Hạ Long,pressure,7,996,998.7,997.5,8.1
1165,2020-12-10T00:00:00,VN,Hạ Long,pressure,8,993.5,998.3,995.6,23.26
1166,2020-02-05T00:00:00,VN,Hạ Long,pressure,7,993.7,998.1,995.8,26.63
1167,2020-06-27T00:00:00,VN,Hạ Long,pressure,24,989.4,992.5,990.9,11.6
