Province,Address,Province Latitude,Province Longitude,Date,AQI,CO,NO2,O3,PM-10,PM-2.5,SO2,Primary Pollutant,Fog,Humidity,Temperature,Wind Speed,Pressure
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-03-02,84,4.0,4.0,13.72222222222222,23.0,28.0,3.0,PM-2.5,10.0,50.5,20.5,3.6,1018.5
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-03-03,147,6.0,20.0,25.0,32.0,54.0,6.0,PM-2.5,14.0,82.0,17.0,4.1,1017.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-03-03,80,5.0,1.0,4.0,20.0,26.0,4.0,PM-2.5,14.0,82.0,17.0,4.1,1017.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-03-03,161,4.0,10.0,13.72222222222222,45.0,75.0,2.0,PM-2.5,14.0,82.0,17.0,3.3,1016.5
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-03-05,147,5.0,10.0,24.0,32.0,54.0,4.0,PM-2.5,19.0,93.0,20.0,1.0,1011.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-03-05,80,4.0,2.0,2.0,20.0,26.0,4.0,PM-2.5,19.0,93.0,20.0,1.0,1011.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-03-05,107,4.0,12.0,13.72222222222222,25.0,38.0,1.0,PM-2.5,18.5,90.5,20.0,1.2,1011.5
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-03-08,151,4.0,8.0,24.0,38.04545454545455,56.45454545454545,3.0,PM-2.5,21.0,88.0,23.0,3.6,1015.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-03-08,80,3.0,2.0,1.0,20.0,26.0,4.0,PM-2.5,21.0,88.0,23.0,3.6,1015.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-03-08,160,4.0,12.0,13.72222222222222,44.0,73.0,2.0,PM-2.5,21.5,91.0,23.0,3.8,1014.5
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-03-14,151,3.0,8.0,6.0,38.04545454545455,56.45454545454545,5.0,PM-2.5,19.0,69.0,25.0,4.1,1011.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-03-12,151,2.0,8.0,27.0,38.04545454545455,56.45454545454545,6.0,PM-2.5,19.0,65.0,26.0,3.6,1018.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-03-14,158,4.0,3.0,13.72222222222222,49.0,69.0,1.0,PM-2.5,19.0,69.0,25.0,4.1,1011.0
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-03-16,151,3.0,8.0,6.0,38.04545454545455,56.45454545454545,5.0,PM-2.5,23.0,94.0,24.0,3.6,1010.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-03-12,151,2.0,8.0,27.0,38.04545454545455,56.45454545454545,6.0,PM-2.5,19.0,65.0,26.0,3.6,1018.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-03-16,149,4.0,8.0,13.72222222222222,39.0,55.0,1.0,PM-2.5,22.0,88.0,24.0,4.1,1009.0
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-03-21,152,3.0,6.0,4.0,36.0,57.0,5.0,PM-2.5,5.5,38.5,20.0,3.6,1022.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-03-24,166,3.0,9.0,34.0,66.0,85.0,10.0,PM-2.5,13.0,60.0,21.0,2.0,1013.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-03-24,190,4.0,16.0,13.72222222222222,89.0,132.0,23.0,PM-2.5,12.5,58.0,21.0,1.0,1013.5
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-03-27,137,3.0,8.0,4.0,38.0,50.0,6.0,PM-2.5,22.0,94.0,23.0,4.8,1009.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-03-27,78,4.0,29.0,4.0,20.0,25.0,4.0,NO2,22.0,94.0,23.0,4.8,1009.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-03-26,78,4.0,8.0,13.72222222222222,17.0,25.0,1.0,PM-2.5,22.0,88.0,24.0,4.6,1009.0
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-03-31,182,4.0,10.0,5.0,74.0,115.0,6.0,PM-2.5,25.0,79.0,29.0,3.0,1000.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-03-31,110,2.0,12.0,19.0,35.0,39.0,4.0,PM-2.5,25.0,79.0,29.0,3.0,1000.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-03-31,179,5.0,5.0,13.72222222222222,61.0,110.0,1.0,PM-2.5,25.0,79.0,29.0,3.0,1000.0
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-04-01,171,3.0,6.0,5.0,73.0,94.0,6.0,PM-2.5,25.0,94.0,26.0,4.1,1003.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-04-01,82,2.0,10.0,12.0,25.0,27.0,3.0,PM-2.5,25.0,94.0,26.0,4.1,1003.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-04-01,153,5.0,5.0,11.363636363636363,43.0,60.0,1.0,PM-2.5,25.0,94.0,26.0,4.1,1003.0
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-04-04,181,5.0,6.0,4.0,63.0,114.0,6.0,PM-2.5,24.0,100.0,24.0,1.5,1011.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-04-05,154,5.0,19.0,11.0,46.0,62.0,4.0,PM-2.5,22.0,94.0,23.0,3.0,1014.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-04-05,189,5.0,15.0,11.363636363636363,73.0,130.0,3.0,PM-2.5,22.0,94.0,23.0,3.6,1014.0
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-04-04,181,5.0,6.0,4.0,63.0,114.0,6.0,PM-2.5,24.0,100.0,24.0,1.5,1011.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-04-06,119,4.0,35.0,11.0,49.0,43.0,5.0,PM-10,23.0,83.0,26.0,5.1,1014.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-04-06,139,4.0,5.0,11.363636363636363,39.0,51.0,2.0,PM-2.5,22.5,78.5,26.5,5.6,1013.5
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-04-04,181,5.0,6.0,4.0,63.0,114.0,6.0,PM-2.5,24.0,100.0,24.0,1.5,1011.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-04-11,112,4.0,9.0,6.0,31.0,40.0,3.0,PM-2.5,20.0,100.0,20.0,1.5,1016.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-04-11,166,6.0,16.0,11.363636363636363,55.0,84.0,4.0,PM-2.5,20.0,100.0,20.0,1.8,1016.0
